#OTU ID,Actinokineospora,Amycolatopsis,Aeromicrobium,Anaeromyxobacter,Anaerospora,Arthrobacter,Azoarcus,Bacillus,Corallococcus,Dechloromonas,Desulfococcus,Dokdonella,Geodermatophilus,Glycomyces,Haliangium,Haloactinospora,Halomonas,Inquilinus,Jiangella,Luteolibacter,Lysobacter,Methylibium,Methylobacterium,Methylobacillus,Methylotenera,Methylonatrum,Methylophaga,Mycobacterium,Nocardia,Nocardioides,Paenibacillus,Paracoccus,Phaeobacter,Phaeospirillum,Pimelobacter,Pleomorphomonas,Prauseria,Promicromonospora,Pseudomonas,Pseudonocardia,Ralstonia,Rhodanobacter,Rhodococcus,Rhodoplanes,Rhodospirillum,Rhodovibrio,Rubellimicrobium,Saccharopolyspora,Sphingomonas,Sporocytophaga,Streptomyces,Thermomonas,Variovorax,class
LC12,0,0.0015364,0,0,0,0.000228825,0,0.004919748,9.81E-05,0,0,0,3.27E-05,0.000130757,0,0,0.000114413,1.63E-05,1.63E-05,0,4.90E-05,0,0,0,0,0,0,0.003497761,0.000833579,0,0.00024517,0,0,0,1.63E-05,0,0,0,0.021918211,3.27E-05,0.002157497,3.27E-05,8.17E-05,0.000719166,0,0,3.27E-05,1.63E-05,0.000572064,0,0.571164722,0,0,0
LC13,0,0.022023613,0.000116322,0,0,0.026056106,0,0.007812954,0.000368353,3.88E-05,0,0,5.82E-05,3.88E-05,0,0,7.75E-05,3.88E-05,1.94E-05,0,3.88E-05,0,7.75E-05,0,0.024505147,0,0,0.01671158,0.001647894,5.82E-05,5.82E-05,0.002113181,0,0,0.001182606,0,1.94E-05,0,0.026579554,0.000290805,0.003315174,1.94E-05,0.000174483,0.000678544,0,0,0.000213257,3.88E-05,0.00083364,0,0.022004226,0,0.002132568,0
LC14,0,0.003226655,0,0,0,0.000613766,0,0.007680842,8.77E-05,0,0,0,1.75E-05,3.51E-05,0,0,0.000140289,7.01E-05,5.26E-05,0,0.001578255,0,3.51E-05,0,0,0,0,0.002086804,0.000894345,5.26E-05,0.000122753,7.01E-05,0,0,0.007610697,0,0,0,0.018658483,0.000298115,0.002227093,0,7.01E-05,0.004156072,0,0,0,0.000140289,0.000526085,1.75E-05,0.60960982,0,0.000263043,0
LC15,2.40E-05,0.036859822,0,0,0,0.004063477,0,0.004664583,0,0,0,0,0,7.21E-05,0,0,2.40E-05,7.21E-05,2.40E-05,0,0.000264487,0,4.81E-05,0,0.000456841,0,0,0.018105314,0.00175523,0,9.62E-05,7.21E-05,0,0,0.000120221,0,0,0,0.018850685,9.62E-05,0.002404424,2.40E-05,0.00016831,0.000480885,0,0,0,0.00016831,0.000697283,2.40E-05,0.13310892,4.81E-05,0.000649195,0
LC16,0,0.022074669,0,0,0,0.030228901,0,0.004445998,3.88E-05,1.94E-05,0,0,0.000232978,0.000213563,0,0,1.94E-05,1.94E-05,1.94E-05,0,1.94E-05,0,7.77E-05,0,0,0,0,0.004387753,0.000912497,5.82E-05,0.000135904,7.77E-05,0,0,0.006154503,0,3.88E-05,0,0.011066457,5.82E-05,0.001106646,0,0.000116489,0.000524201,0,0,1.94E-05,0.000446541,0.000485371,0,0.155046887,0,0.000213563,0
LC17,5.55E-05,0.088590256,0,0,7.40E-05,0.000518288,0,0.01334592,0.000129572,0,0,0,0.000351696,0.002721013,0,0,3.70E-05,0.000314675,0,0,0.000203613,0,5.55E-05,0,1.85E-05,0,0,0.001406782,0.00255442,3.70E-05,0.000203613,0.000684881,0,0,0.000111062,0,9.26E-05,0,0.037131645,0.000407226,0.003535466,0,0.000222124,0.000314675,0,0,5.55E-05,0.000407226,0.001110618,0,0.053013475,0,1.85E-05,0
LC18,3.61E-05,0.113612603,0,0,0,9.01E-05,0,0.032283067,0.000108151,1.80E-05,0,0,7.21E-05,0.000126176,0,0,0.000126176,0.000414579,0,0,0.000126176,0,0.000252352,0,1.80E-05,0,0,0.000486679,0.002938102,0,5.41E-05,1.80E-05,0,0,0.000108151,0,0,0,0.023342586,0.000162226,0.00223512,0,0.000144201,0.000324453,0,1.80E-05,5.41E-05,0.000396554,0.00052273,5.41E-05,0.003713184,0,9.01E-05,0
LC19,0,0.008244852,0,0,0,0.001850064,0,0.003076737,2.01E-05,0,0,0,0.000100547,6.03E-05,0,0,0.000221203,0.000542954,0,0,2.01E-05,0,4.02E-05,0,0.000422297,0,0,0.005148005,0.001065798,0,8.04E-05,0.000603282,0,0,2.01E-05,0,8.04E-05,0,0.009672619,2.01E-05,0.001829955,2.01E-05,0.000100547,0.00032175,0,0,0,6.03E-05,0.000402188,2.01E-05,0.537323037,0,0,0
LC20,0,0.000258918,0,0,0,0.020483314,0,0.004660529,0,0,0,0,2.88E-05,0,0,0,0.000258918,0,0,0,0,0,0.000143843,0,0.005552359,0,0,8.63E-05,0.002560414,0,2.88E-05,0.001409666,0,0,0.000489068,0,0,0,0.055609896,0,0.004344074,0,0.000115075,0.000172612,0,0,0.000115075,0,0.002128884,0,0.029660529,0,0.001064442,0
LC21,0,0.044372852,0,0,4.30E-05,0.000214777,0,0.002749141,2.15E-05,0,0,0,0.000107388,0.000945017,0,0,0.00036512,0.000214777,2.15E-05,0,0,0,0.000107388,0,4.30E-05,0,0,0.000902062,0.000343643,4.30E-05,6.44E-05,6.44E-05,0,0,6.44E-05,0,0,0,0.006829897,0.000214777,0.000601375,0,0.000128866,0.000214777,0,0,2.15E-05,0.000128866,0.000236254,0,0.002920962,0,2.15E-05,1
