#OTU ID,Actinokineospora,Amycolatopsis,Aeromicrobium,Anaeromyxobacter,Anaerospora,Arthrobacter,Azoarcus,Bacillus,Corallococcus,Dechloromonas,Desulfococcus,Dokdonella,Geodermatophilus,Glycomyces,Haliangium,Haloactinospora,Halomonas,Inquilinus,Jiangella,Luteolibacter,Lysobacter,Methylibium,Methylobacterium,Methylobacillus,Methylotenera,Methylonatrum,Methylophaga,Mycobacterium,Nocardia,Nocardioides,Paenibacillus,Paracoccus,Phaeobacter,Phaeospirillum,Pimelobacter,Pleomorphomonas,Prauseria,Promicromonospora,Pseudomonas,Pseudonocardia,Ralstonia,Rhodanobacter,Rhodococcus,Rhodoplanes,Rhodospirillum,Rhodovibrio,Rubellimicrobium,Saccharopolyspora,Sphingomonas,Sporocytophaga,Streptomyces,Thermomonas,Variovorax,class
LP.26,0,0.000794169,8.82E-06,0.000132362,0,0.000997123,0,0.00598274,0,0,0,0,0,7.94E-05,0,0,0.00122655,0,0.000132362,0,0,0,0.000114713,0,0,0,1.76E-05,0.000202954,0.004385578,8.82E-06,0.000617687,1.76E-05,0,0,7.06E-05,0,0,0,0.091020595,6.18E-05,0.0210896,8.82E-06,8.82E-06,1.76E-05,0,0,8.82E-06,0,0.001923654,0.000414733,0.000167658,0,1.76E-05,0
LP.27,0,0.264427496,0,2.02E-05,1.01E-05,0.000171726,0,0.000899035,0,0,0,0,3.03E-05,0.000111117,0,0,0.000484873,2.02E-05,0.000121218,0,0,0,3.03E-05,0,0,0,3.03E-05,0.000424264,0.000363655,0,0.000515178,0,0,0,6.06E-05,0,0,0,0.007303399,0.000151523,0.001868781,0,0,0.000111117,0,1.01E-05,1.01E-05,0,0.00020203,0,0.001232385,0,5.05E-05,0
LP.28,0,0.000370645,0,1.76E-05,0,0,0,0.000247097,0,0,0,0,8.82E-06,4.41E-05,0,0,0.00074129,0.000467719,2.65E-05,0,8.82E-06,0,0,0,0,0,8.82E-06,1.76E-05,0.000114723,0,7.06E-05,8.82E-06,8.82E-06,0,8.82E-06,0,0,0,0.002109146,8.82E-06,0.00034417,0,0,2.65E-05,0,0.000238272,0,0,0.000114723,0.000141198,0.000158848,0,0,0
LP.29,0,0.001340655,0,0,1.07E-05,0.000117978,0,0.001040348,0,0,0,0,0,0.000107252,0,0,0.000815118,0.000493361,3.22E-05,0,1.07E-05,0,4.29E-05,0,0,0,2.15E-05,0.000257406,0.000396834,2.15E-05,0.00022523,0,0,0,2.15E-05,0,0,0,0.010596538,4.29E-05,0.001083249,0,0,4.29E-05,0,5.36E-05,1.07E-05,1.07E-05,0.000418284,0,0.000579163,0,1.07E-05,0
LP.30,0,0.009037129,0,0,2.25E-05,0.000338047,0,0.000563412,1.13E-05,0,0,0,0.000135219,0.000326779,0,0,0.003729788,9.01E-05,0.000484534,0,2.25E-05,0,2.25E-05,0,0,0,1.13E-05,0.000304242,0.00025917,3.38E-05,0.000563412,1.13E-05,0,1.13E-05,0.00038312,0,0,0,0.007594794,5.63E-05,0.000743704,0,0,6.76E-05,0,0,0.000247901,2.25E-05,0.000315511,0.000518339,0.001780382,0,0.000709899,0
LP.31,0,0.014219694,5.92E-05,1.18E-05,0.001481218,0.08092191,0,0.044128451,0.000509539,0,0,0,0.002760991,0.000592487,0,0,0.004941344,7.11E-05,0.000533239,3.55E-05,0.000592487,1.18E-05,0,0,0,0,5.92E-05,0.000509539,0.000782083,9.48E-05,0.00046214,0.00509539,0,2.37E-05,0.007678635,5.92E-05,1.18E-05,0,0.007062448,0.000568788,0.000699135,0,1.18E-05,0.001362721,8.29E-05,0,0.008282972,0,0.000616187,0.000663586,0.02420903,0,0.000236995,0
LP.32,0,0.2611085,0,1.12E-05,2.24E-05,0.000212656,0,0.001399055,2.24E-05,0,0,0,3.36E-05,0.000447698,0,0,0.001141629,3.36E-05,0.000570815,0,5.60E-05,0,0,0,0,0,2.24E-05,0.000212656,0.000212656,7.83E-05,0.000100732,3.36E-05,0,0,4.48E-05,0,0,0,0.008998724,0.000302196,0.000660354,0,0,7.83E-05,0,2.24E-05,1.12E-05,0.000179079,0.000212656,0,0.044926466,0,2.24E-05,0
LP.33,0,0.060315999,1.02E-05,0,1.02E-05,0.000102265,0,0.000562458,2.05E-05,0,0,0,2.05E-05,0.000143171,0,0,0.00111469,0,0.000112492,0,0,0,0,0,0,0,1.02E-05,0.000245436,0.000327249,0,0.000194304,2.05E-05,0,0,3.07E-05,0,0,0,0.004540574,3.07E-05,0.000368155,0,3.07E-05,0,0,8.18E-05,1.02E-05,2.05E-05,0.000153398,0,0.000726083,0,4.09E-05,0
LP.34,2.12E-05,0.113137407,1.06E-05,1.06E-05,8.50E-05,0.00016994,1.06E-05,0.000892184,1.06E-05,0,1.06212E-05,0,0.00025491,0.000233667,0,0,0.000456713,6.37E-05,0.000308016,0,2.12E-05,0,2.12E-05,0,0,0,1.06E-05,0.000456713,0.000265531,1.06E-05,0.000329258,2.12E-05,0,0,6.37E-05,1.06E-05,0,0,0.008443883,0.000223046,0.000902805,0,0,4.25E-05,0,0,0.000148697,9.56E-05,0.000297395,4.25E-05,0.002187975,0,4.25E-05,0
LY1.1,0,0.006890163,0,0,0,6.95E-05,0,0.002756065,0.000150541,0,0,0,0,0.001852817,0,0,0.212413873,0,9.26E-05,1.16E-05,5.79E-05,0,0,0,0,0,0.008314516,0.000162121,8.11E-05,1.16E-05,0.000196862,0.000196862,1.16E-05,0,3.47E-05,3.47E-05,2.32E-05,0,0.003207689,2.32E-05,0.000196862,0,0,3.47E-05,0.000173702,0.000173702,0.000115801,0,3.47E-05,5.79E-05,0.000717967,0,1.16E-05,0
LY1.2,0,0.0048012,0,0,0,6.00E-05,0,0.000450113,4.00E-05,0,0,0,1.00E-05,0.001830458,0,0,0.102985746,1.00E-05,5.00E-05,0,2.00E-05,0,0,0,0,0,0.000470118,0.000130033,0.000170043,0,0.000130033,0.000140035,0,0,5.00E-05,0,1.00E-05,0,0.004191048,5.00E-05,0.000510128,0,0,3.00E-05,4.00E-05,5.00E-05,2.00E-05,0,0.000110028,0,0.000350088,0,1.00E-05,0
LY2.1,0,0.002859751,0,0,1.10E-05,6.60E-05,0,0.012846882,1.10E-05,0,0,0,2.20E-05,0.000373967,0,0,0.034009041,2.20E-05,9.90E-05,2.20E-05,2.20E-05,0,0,0,0,0,0.003508695,0.000296974,0.00010999,2.20E-05,0.000736936,0.000197983,0,0,3.30E-05,1.10E-05,0,2.20E-05,0.003145726,2.20E-05,0.000428963,0,0,5.50E-05,0,0.000406965,0.000417964,1.10E-05,0.000153987,5.50E-05,0.000978915,0,0.000164986,0
LY2.2,0,0.001961752,0,0,0,8.64E-05,0,0.003911166,2.47E-05,0,0,0,2.47E-05,9.87E-05,0,0,0.019494139,1.23E-05,9.87E-05,0,2.47E-05,0,1.23E-05,0,0,0,0.005243677,0.000259099,0.000135719,0,0.000172733,0,0,1.23E-05,3.70E-05,1.23E-05,0,0,0.003701419,2.47E-05,0.000283775,0,1.23E-05,6.17E-05,0,0.000172733,2.47E-05,0,8.64E-05,0,0.00038248,0,6.17E-05,0
LY3.1,0,0.012145387,0,3.84E-05,5.11E-05,3.84E-05,0,0.005561309,0,0,1.27846E-05,0,0,7.67E-05,0,0,0.015021926,3.84E-05,0.000102277,0,0.001009985,0,0,0,0,0,5.11E-05,6.39E-05,0.000178985,1.28E-05,0.000127846,0,0,0,1.28E-05,1.28E-05,0,0,0.004781447,3.84E-05,0.001227323,0,0,0.000230123,1.28E-05,0.000230123,5.11E-05,0.000473031,0.000281262,0,0.001214539,0,5.11E-05,0
LY3.2,0,0.000988527,0,3.00E-05,0,5.99E-05,0,0.000404397,3.00E-05,0,0,0,0,5.99E-05,0,0,0.001153282,1.50E-05,0,0,0.000179732,0,0,0,0,0,0,0.000134799,0,0,7.49E-05,0,0,0,3.00E-05,0,0,0,0.000629063,3.00E-05,7.49E-05,0,0,0.000104844,0,1.50E-05,0,0,4.49E-05,0,0.000179732,0,3.00E-05,0
LY4.1,0,0.000448759,0,0.000153523,0,2.36E-05,0,0.000436949,2.36E-05,0,0,0,0,2.36E-05,0,0,0.000236189,0,2.36E-05,0,1.18E-05,0,0,0,0,0,1.18E-05,2.36E-05,4.72E-05,0,7.09E-05,0,1.18E-05,1.18E-05,1.18E-05,2.36E-05,0,0,0.000767614,0,5.90E-05,0,0,5.90E-05,0,1.18E-05,1.18E-05,0,5.90E-05,1.18E-05,0.000200761,0,2.36E-05,0
LY4.2,0,0.002686209,0,0,1.24E-05,7.43E-05,0,0.000495154,0.000160925,0,0,0,0,3.71E-05,0,0,0.002599557,0,1.24E-05,0,3.71E-05,0,0,0,0,0,0,9.90E-05,0.000284713,0,0.000173304,1.24E-05,0,0,0,1.24E-05,0,0,0.002760482,1.24E-05,0.000470396,0,0,1.24E-05,0,0.000136167,4.95E-05,0,0.000123788,2.48E-05,0.000198061,0,0,0
